Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0039266, 0.0031062, 6527.4160192, 0.3155907
Raman HeII 6545, 0.0000000, 0.0000000, 6540.0000000, 0.5000000
He 6560, 0.1828057, 0.1453429, 6560.4176169, 0.3171863
Hα 6563, 8.6962683, 8.7808704, 6563.0233070, 0.4028234
NII 6548 (1), 0.0599205, 0.0201682, 6548.0449788, 0.1342769
NII 6548 (2), 0.0147498, 0.0064984, 6548.8054347, 0.1757647
NII 6584 (1), 0.1797615, 0.0608316, 6583.4449517, 0.1350028
NII 6584 (2), 0.0442493, 0.0196006, 6584.2095187, 0.1767150
