Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0221449, 0.0217763, 6526.1053776, 0.3923010
Raman HeII 6545, 0.0030447, 0.0383239, 6550.0000000, 5.0215970
He 6560, 0.4877366, 0.4820420, 6559.1003490, 0.3942844
Hα 6563, 34.9006870, 40.3547629, 6561.7665281, 0.4612867
NII 6548 (1), 1.8423692, 1.2887597, 6546.6580682, 0.2790650
NII 6548 (2), 0.7744089, 0.5294055, 6547.4840998, 0.2727270
NII 6584 (1), 5.5271076, 3.8871811, 6582.0505431, 0.2805737
NII 6584 (2), 2.3232268, 1.5968027, 6582.8810405, 0.2742014
