Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0125625, 0.0105799, 6526.8621832, 0.3359807
Raman HeII 6545, 0.0112070, 0.0564006, 6548.4667059, 2.0077256
He 6560, 0.4095984, 0.3466991, 6559.8609808, 0.3376793
Hα 6563, 15.1116645, 16.8223035, 6562.5207048, 0.4441025
NII 6548 (1), 3.6432389, 2.2242591, 6547.3994402, 0.2435610
NII 6548 (2), 3.4578778, 2.3470778, 6548.1100587, 0.2707871
NII 6584 (1), 10.9297166, 6.7088516, 6582.7959232, 0.2448778
NII 6584 (2), 10.3736333, 7.0792995, 6583.5103834, 0.2722510
