Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0000013, 0.0000012, 6524.3970875, 0.3694591
Raman HeII 6545, 0.0000000, 0.0000000, 6549.9609525, 0.5146604
He 6560, 0.0000516, 0.0000480, 6557.3834220, 0.3713270
Hα 6563, 0.4287744, 0.3810682, 6558.8874550, 0.3545553
NII 6548 (1), 0.0709251, 0.0449614, 6544.2883799, 0.2529009
NII 6548 (2), 0.0016289, 0.0008122, 6546.1104854, 0.1989246
NII 6584 (1), 0.2127752, 0.1356135, 6579.6680439, 0.2542682
NII 6584 (2), 0.0048868, 0.0024499, 6581.5000000, 0.2000000
