Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6499.3746,0.0760,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.4172,0.0641,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.4172,0.0641,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.4597,0.0549,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.4597,0.0549,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.5023,0.0793,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.5023,0.0793,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.5448,0.0613,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.5448,0.0613,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.5874,0.0594,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.5874,0.0594,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.6299,0.0701,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.6299,0.0701,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.6724,0.0684,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.6724,0.0684,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.7149,0.0932,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.7149,0.0932,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.7575,0.0434,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.7575,0.0434,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.8000,0.0616,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.8000,0.0616,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.8425,0.0778,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.8425,0.0778,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.8850,0.0571,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.8850,0.0571,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.9275,0.0727,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.9275,0.0727,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.9700,0.0834,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.9700,0.0834,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.0125,0.0587,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.0125,0.0587,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.0550,0.0569,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.0550,0.0569,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.0974,0.0639,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.0974,0.0639,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.1399,0.0662,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.1399,0.0662,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.1824,0.0671,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.1824,0.0671,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.2248,0.0721,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.2248,0.0721,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.2673,0.0890,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.2673,0.0890,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.3097,0.0607,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.3097,0.0607,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.3522,0.0515,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.3522,0.0515,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.3946,0.0594,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.3946,0.0594,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.4371,0.0570,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.4371,0.0570,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.4795,0.0535,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.4795,0.0535,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.5219,0.0559,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.5219,0.0559,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.5644,0.0670,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.5644,0.0670,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.6068,0.0756,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.6068,0.0756,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.6492,0.0936,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.6492,0.0936,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.6916,0.0618,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.6916,0.0618,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.7340,0.0669,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.7340,0.0669,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.7764,0.0615,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.7764,0.0615,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.8188,0.0607,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.8188,0.0607,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.8612,0.0836,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.8612,0.0836,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.9035,0.0672,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.9035,0.0672,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.9459,0.0882,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.9459,0.0882,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.9883,0.0770,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.9883,0.0770,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.0307,0.0808,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.0307,0.0808,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.0730,0.0688,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.0730,0.0688,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.1154,0.0863,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.1154,0.0863,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.1577,0.0893,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.1577,0.0893,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.2001,0.0716,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.2001,0.0716,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.2424,0.0619,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.2424,0.0619,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.2847,0.0597,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.2847,0.0597,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.3271,0.0521,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501.3271,0.0521,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
