Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0272440, 0.0234580, 6528.5713389, 0.3435031
Raman HeII 6545, 0.0000000, 0.0000000, 6543.0915006, 0.5449373
He 6560, 0.6587446, 0.5700695, 6561.5787777, 0.3452397
Hα 6563, 21.7294995, 25.1540210, 6564.3080761, 0.4618147
NII 6548 (1), 0.5632373, 0.2949335, 6549.0314521, 0.2089021
NII 6548 (2), 1.2449930, 0.8196709, 6549.9311746, 0.2626532
NII 6584 (1), 1.6897120, 0.8895840, 6584.4367580, 0.2100315
NII 6584 (2), 3.7349789, 2.4723067, 6585.3413446, 0.2640732
