Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0000051, 0.0000050, 6528.3174249, 0.3917946
Raman HeII 6545, 0.0000051, 0.0001273, 6540.0000000, 10.0000000
He 6560, 0.0147168, 0.0145262, 6561.3235800, 0.3937755
Hα 6563, 0.3296325, 0.2531272, 6564.0764506, 0.3063507
NII 6548 (1), 0.0396299, 0.0176035, 6548.9126321, 0.1772088
NII 6548 (2), 0.1706143, 0.0740995, 6549.6090556, 0.1732647
NII 6584 (1), 0.1188897, 0.0530959, 6584.3172956, 0.1781669
NII 6584 (2), 0.5118428, 0.2235004, 6585.0174842, 0.1742014
