Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0054935, 0.0006850, 6524.9953763, 0.0497485
Raman HeII 6545, 0.0074375, 0.1864305, 6550.0000000, 10.0000000
He 6560, 0.0000066, 0.0000008, 6557.9847357, 0.0500000
Hα 6563, 46.9655178, 39.1515860, 6562.6801147, 0.3325679
NII 6548 (1), 3.5789712, 2.5862888, 6547.9603449, 0.2882895
NII 6548 (2), 0.0212686, 0.0083722, 6549.0559377, 0.1570391
NII 6584 (1), 10.7369137, 7.8008122, 6583.3598602, 0.2898481
NII 6584 (2), 0.0638059, 0.0252523, 6584.4613760, 0.1578881
