Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0222438, 0.0202511, 6528.5677495, 0.3632042
Raman HeII 6545, 0.0000178, 0.0004452, 6550.0000000, 10.0000000
He 6560, 0.6327677, 0.5789957, 6561.5751702, 0.3650405
Hα 6563, 19.6418135, 23.6430196, 6564.2936429, 0.4802103
NII 6548 (1), 0.5903863, 0.3047893, 6549.0187744, 0.2059556
NII 6548 (2), 1.2283849, 0.7968436, 6549.9404875, 0.2587907
NII 6584 (1), 1.7711588, 0.9193113, 6584.4240118, 0.2070690
NII 6584 (2), 3.6851548, 2.4034544, 6585.3507078, 0.2601898
