Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0181347, 0.0149700, 6526.8331982, 0.3293216
Raman HeII 6545, 0.0088608, 0.0665009, 6548.7555273, 2.9940892
He 6560, 0.4279371, 0.3550424, 6559.8318493, 0.3309866
Hα 6563, 10.2301767, 12.5385723, 6562.5204731, 0.4889619
NII 6548 (1), 3.0525593, 1.8683040, 6547.3564960, 0.2441707
NII 6548 (2), 3.1507059, 2.3113289, 6548.0808437, 0.2926604
NII 6584 (1), 9.1576779, 5.6352132, 6582.7527468, 0.2454907
NII 6584 (2), 9.4521176, 6.9714732, 6583.4810104, 0.2942426
