Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0326682, 0.0285946, 6527.4584079, 0.3491966
Raman HeII 6545, 0.0089754, 0.0706753, 6549.8050464, 3.1414012
He 6560, 0.4852929, 0.4269274, 6560.4602200, 0.3509621
Hα 6563, 22.3467636, 24.9119512, 6563.1335490, 0.4447369
NII 6548 (1), 7.1758141, 4.6359954, 6548.0154306, 0.2577400
NII 6548 (2), 8.0737604, 5.0212022, 6548.7211528, 0.2481087
NII 6584 (1), 21.5274424, 13.9831755, 6583.4152437, 0.2591334
NII 6584 (2), 24.2212811, 15.1450434, 6584.1247812, 0.2494500
