Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0000000, 0.0000000, 6529.3874902, 0.2998578
Raman HeII 6545, 0.0020960, 0.0026270, 6550.0000000, 0.5000000
He 6560, 0.0082030, 0.0061968, 6562.3990554, 0.3013738
Hα 6563, 0.2098771, 0.2168632, 6565.0001553, 0.4122216
NII 6548 (1), 0.0930882, 0.0490856, 6549.9252571, 0.2103629
NII 6548 (2), 0.0479869, 0.0268391, 6550.6779746, 0.2231292
NII 6584 (1), 0.2792646, 0.1480528, 6585.3353950, 0.2115002
NII 6584 (2), 0.1439606, 0.0809527, 6586.0921820, 0.2243355
