Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0000000, 0.0000000, 6530.4086402, 1.2880133
Raman HeII 6545, 0.0001084, 0.0027160, 6550.0000000, 10.0000000
He 6560, 0.1521477, 0.4937031, 6563.4253682, 1.2945253
Hα 6563, 0.8906607, 1.3153776, 6566.0943972, 0.5891803
NII 6548 (1), 0.0250587, 0.0499835, 6548.1346295, 0.7957530
NII 6548 (2), 0.1498176, 0.1834104, 6551.5126605, 0.4883947
NII 6584 (1), 0.0751761, 0.1507612, 6583.5350870, 0.8000550
NII 6584 (2), 0.4494529, 0.5532057, 6586.9313803, 0.4910351
