Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6503.0247,0.0122,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1089,-0.0033,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1931,0.0387,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.2772,0.0023,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.3613,0.0202,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.4454,0.0193,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.5295,-0.0102,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.6136,0.0236,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.6976,0.0028,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.7816,-0.0257,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.8656,-0.0085,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.9496,0.0222,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.0335,0.0672,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.1175,0.0194,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.2014,0.0280,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.2853,-0.0182,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.3691,0.0281,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.4530,-0.0014,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.5368,0.0210,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.6206,-0.0116,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.7044,0.0190,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.7881,-0.0004,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.8719,0.0001,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.9556,0.0037,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
