Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6502.7660,0.0821,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.8516,0.0602,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6502.9372,-0.0364,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.0227,0.0917,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1082,0.0014,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.1937,0.0280,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.2792,0.0709,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.3646,0.0305,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.4501,0.0338,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.5354,0.0035,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.6208,0.1256,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.7061,0.0433,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.7914,0.0510,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.8767,-0.0389,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6503.9619,0.0609,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.0471,0.1774,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.1323,-0.0316,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.2174,-0.0065,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.3026,0.0196,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.3877,0.0954,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.4727,0.0345,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.5578,0.0194,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.6428,0.0247,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.7278,0.0130,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.8127,0.0366,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.8976,0.0321,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6504.9825,0.0937,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.0674,0.0949,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.1522,0.0551,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.2370,-0.0219,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.3218,-0.0141,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.4066,-0.0130,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6505.4913,0.1279,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
