Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0036911, 0.0024383, 6526.5833083, 0.2635392
Raman HeII 6545, 0.0027460, 0.0157598, 6547.7930041, 2.2896119
He 6560, 0.0898522, 0.0596560, 6559.5806959, 0.2648716
Hα 6563, 3.1141553, 2.9226543, 6562.2517137, 0.3744098
NII 6548 (1), 0.6360121, 0.2822811, 6547.1905449, 0.1770624
NII 6548 (2), 0.5683588, 0.3603250, 6547.7265841, 0.2529193
NII 6584 (1), 1.9080364, 0.8514214, 6582.5858986, 0.1780197
NII 6584 (2), 1.7050763, 1.0868190, 6583.1248356, 0.2542866
