Line Name, Amplitude, Area, Center, Sigma
HeII 6527, 0.0009885, 0.0001399, 6527.0729642, 0.0564430
Raman HeII 6545, 0.0038219, 0.0958007, 6550.0000000, 10.0000000
He 6560, 0.0964956, 0.0137214, 6560.0728275, 0.0567283
Hα 6563, 12.1263418, 13.4340224, 6562.7198934, 0.4419634
NII 6548 (1), 3.2175197, 2.4006361, 6547.9630895, 0.2976564
NII 6548 (2), 0.0228250, 0.0082608, 6549.0724045, 0.1443847
NII 6584 (1), 9.6525591, 7.2408432, 6583.3626196, 0.2992656
NII 6584 (2), 0.0684751, 0.0249164, 6584.4779318, 0.1451653
